Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,EMR,EXC,F,FB,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
1989-12-01,0.25066399574279785,,1.8300087451934814,,1.1883399486541748,105.8285140991211,0.765221118927002,,,,5.052196502685547,10.662041664123535,4.654888153076172,,2.2051584720611572,,,4.1524577140808105,,11.97175121307373,3.2702698707580566,,1.95286226272583,1.3310620784759521,,3.267169713973999,8.048418045043945,,,5.455099582672119,4.983429908752441,10.607281684875488,0.6651955246925354,6.757124423980713,,5.271206378936768,3.936039924621582,2.0443665981292725,2.5902116298675537,,9.834043502807617,1.9235804080963135,17.72744369506836,,,,,,1.1061047315597534,3.9414801597595215,10.217784881591797,0.6233960390090942,3.481569528579712,3.3832848072052,,2.263166666030884,,6.672126293182373,4.912459373474121,0.6246374845504761,,4.572210311889648,,1.3211086988449097,,7.760888576507568,0.595014750957489,4.214966773986816,,0.3778826892375946,1.269784688949585,,0.6280362010002136,,0.48018404841423035,4.7956061363220215,1.030698537826538,3.9187631607055664,,,,2.0476248264312744,,1.65709388256073,,1.575698971748352,2.9000673294067383,7.4432477951049805,,,1.3236693143844604,0.3101605772972107,3.211169481277466,,0.8728122711181641,,5.769442081451416,1.684877634048462,1.1270227432250977,3.5152435302734375,4.134918689727783
1990-01-01,0.24177494645118713,,1.7492729425430298,,1.379061222076416,95.19487762451172,0.7300834059715271,,,,4.339112281799316,10.639594078063965,4.227144241333008,,1.944922685623169,,,3.882847547531128,,10.97410774230957,3.1290063858032227,,1.6722341775894165,1.17212975025177,,3.218649387359619,6.852029323577881,,,5.531501293182373,4.919070243835449,9.5824613571167,0.627028226852417,6.282015323638916,,5.048150062561035,3.8603458404541016,1.9007092714309692,2.5605249404907227,,9.672834396362305,1.7414032220840454,17.23712158203125,,,,,,1.0608043670654297,3.842588424682617,10.706291198730469,0.7137430906295776,3.0711097717285156,2.97845458984375,,2.0178074836730957,,6.148586273193359,4.943950653076172,0.5769959688186646,,4.323718547821045,,1.2808468341827393,,7.614688396453857,0.5458278656005859,3.9519829750061035,,0.4017719328403473,1.186877727508545,,0.5977762937545776,,0.44166675209999084,4.3253493309021,1.0158683061599731,3.5701181888580322,,,,1.8824939727783203,,1.5361886024475098,,1.3043442964553833,2.717743396759033,7.2609663009643555,,,1.2377710342407227,0.2366180568933487,3.1416258811950684,,0.761772632598877,,5.06933069229126,1.491161584854126,1.0393657684326172,3.3431127071380615,3.8868236541748047
1990-02-01,0.24177494645118713,,1.7345714569091797,,1.7790848016738892,99.16130828857422,0.89796382188797,,,,4.24795389175415,11.470107078552246,4.478759288787842,,2.096142053604126,,,3.892202377319336,,11.323830604553223,3.4436278343200684,,1.7582707405090332,1.0827299356460571,,3.3353817462921143,6.656256675720215,,,5.576752662658691,4.93745756149292,9.676222801208496,0.6433860063552856,6.613134860992432,,5.142067909240723,3.9108054637908936,1.7791513204574585,2.778588056564331,,10.747586250305176,1.6056029796600342,17.09867286682129,,,,,,1.2004826068878174,3.969733238220215,11.276209831237793,0.7272955775260925,3.144406318664551,2.9639976024627686,,2.065415143966675,,5.880725860595703,4.566068649291992,0.5556128025054932,,4.174626350402832,,1.2211869955062866,,7.809624671936035,0.5332181453704834,3.7400271892547607,,0.42891860008239746,1.147605299949646,,0.6717584133148193,,0.45964178442955017,4.400573253631592,0.8749813437461853,3.586076259613037,,,,1.929674506187439,,1.51603364944458,,1.3691176176071167,2.803208351135254,7.68629264831543,,,1.307307243347168,0.23981526494026184,3.210265636444092,,0.761772632598877,,4.706444263458252,1.464131474494934,0.9864401817321777,3.450955867767334,3.8868236541748047
1990-03-01,0.2871414124965668,,1.7785282135009766,,2.2348833084106445,95.19487762451172,0.964335024356842,,,,3.755702257156372,12.946496963500977,3.9313130378723145,,1.9017975330352783,,,3.985766887664795,,11.587176322937012,3.47202730178833,,1.8434752225875854,1.062862753868103,,3.40078067779541,6.7432661056518555,,0.05794445052742958,5.838644027709961,5.017363548278809,9.86374282836914,0.6542908549308777,6.711275100708008,,5.240900993347168,4.057655334472656,1.6335725784301758,2.8540947437286377,,11.983562469482422,1.6163790225982666,17.926828384399414,,,,,,1.3828121423721313,4.235330104827881,11.663919448852539,0.7543997764587402,3.3082072734832764,2.7037434577941895,,2.1899256706237793,,6.335517406463623,4.592797756195068,0.699168860912323,,4.218067169189453,,1.246418833732605,,8.00358772277832,0.5710474848747253,3.8015618324279785,,0.4810401499271393,1.1408360004425049,,0.801967203617096,,0.38774198293685913,4.710870742797852,0.9069238305091858,3.8036277294158936,,,,2.179766893386841,,1.5232881307601929,,1.4128798246383667,3.155700922012329,7.777434349060059,,,1.3443951606750488,0.24940802156925201,3.062424421310425,,0.771796464920044,,4.942092418670654,1.5390571355819702,0.9990869760513306,3.7058558464050293,3.873215913772583
1990-04-01,0.2808995842933655,,1.8055778741836548,,2.2531440258026123,91.08550262451172,0.9994726777076721,,,,3.9562458992004395,12.585624694824219,3.855225086212158,,1.7074533700942993,,,4.200959205627441,,12.113860130310059,3.4862284660339355,,1.7466528415679932,0.9357718825340271,,3.2536330223083496,5.960178852081299,,0.05856085568666458,5.730807304382324,4.8965744972229,9.353910446166992,0.7960537672042847,6.673529624938965,,5.038413047790527,3.917733669281006,1.3839987516403198,2.6653313636779785,,11.768610000610352,1.4978446960449219,17.85707664489746,,,,,,1.413036823272705,4.020700931549072,11.979904174804688,0.7137430906295776,3.3376801013946533,2.7722952365875244,,2.2462849617004395,,6.482568264007568,4.210062503814697,0.7337287664413452,,4.018789291381836,,1.2867889404296875,,7.806881904602051,0.6107312440872192,4.032746315002441,,0.5038437247276306,1.0564939975738525,,0.8164811730384827,,0.3261142373085022,5.005558967590332,0.8489552140235901,3.965034008026123,,,,2.094099760055542,,1.4144816398620605,,1.3659913539886475,3.098428964614868,7.838196754455566,,,1.2669910192489624,0.2749882936477661,2.894432783126831,,0.8121249079704285,,4.896272659301758,1.5209497213363647,0.9105603694915771,3.89790415763855,3.7894716262817383
1990-05-01,0.2942756712436676,,2.038086414337158,,2.0985164642333984,104.02449035644531,1.0951257944107056,,,,4.304633617401123,14.863659858703613,3.9313130378723145,,2.1039180755615234,,,4.630653381347656,,13.746594429016113,3.824784517288208,,2.0182299613952637,1.1348716020584106,,3.550917863845825,6.678008556365967,,0.06102713942527771,6.161870002746582,5.203189849853516,9.429657936096191,0.9160070419311523,7.800715446472168,,5.252815246582031,4.23573112487793,1.4974395036697388,2.831814765930176,,9.941519737243652,1.5403389930725098,19.2172794342041,,,,,,1.8324156999588013,4.178093910217285,13.18889045715332,0.8718511462211609,3.7650206089019775,3.2466979026794434,,2.6587183475494385,,7.671246528625488,4.513062000274658,1.0089411735534668,,4.600020408630371,,1.523180603981018,,8.126531600952148,0.6125495433807373,4.5557661056518555,,0.6341479420661926,1.1230796575546265,,0.9322740435600281,,0.40571704506874084,5.581668853759766,0.9854617714881897,4.6682233810424805,,,,2.23211932182312,,1.4507490396499634,,1.4831794500350952,3.4649713039398193,8.23314380645752,,,1.5651065111160278,0.3869013488292694,3.027449369430542,,0.8324280381202698,,5.52653169631958,1.692962646484375,1.14500892162323,4.428099632263184,4.019768714904785
1990-06-01,0.3201304078102112,,2.2320268154144287,,2.164785385131836,98.77205657958984,1.2142037153244019,,,,4.525387287139893,15.910015106201172,3.8399839401245117,,1.800333023071289,,,4.791309833526611,,14.418744087219238,3.00416898727417,,2.135340929031372,1.0751420259475708,,3.402273654937744,7.221822738647461,,0.06534188240766525,6.503339767456055,5.287248611450195,8.672250747680664,0.8669348955154419,7.755366325378418,,5.399319171905518,4.2049407958984375,1.5358879566192627,2.686002016067505,,9.7265625,1.3884750604629517,19.45370864868164,,,,,,1.7455168962478638,4.259406089782715,13.058748245239258,0.8492640852928162,4.015807628631592,3.024322509765625,,2.6145272254943848,,8.1980562210083,4.330753803253174,1.0383005142211914,,4.727828502655029,,1.6851130723953247,,8.596010208129883,0.6761667728424072,4.801708698272705,,0.6602091193199158,1.107914924621582,,0.9114900231361389,,0.47504904866218567,5.865005016326904,0.968870997428894,4.9224653244018555,,,,2.1971890926361084,,1.4981403350830078,,1.3688431978225708,3.3488645553588867,7.412868022918701,,,1.4766035079956055,0.4412599503993988,2.9848825931549072,,0.8933370113372803,,5.261467456817627,1.8052586317062378,1.113025188446045,4.8993821144104,4.061709403991699
1990-07-01,0.30045706033706665,,2.3681282997131348,,2.069063663482666,96.85137176513672,1.3469456434249878,,,,4.318538188934326,15.706047058105469,3.6735832691192627,,1.4402657747268677,,,4.954878330230713,,13.626508712768555,2.790095090866089,,2.1860899925231934,1.0075784921646118,,3.815173387527466,6.960790634155273,,0.06287632882595062,6.549901962280273,5.963417053222656,7.9043989181518555,0.9596263766288757,7.112863540649414,,5.604663372039795,4.16648006439209,1.5243395566940308,2.5478639602661133,,8.947369575500488,1.1606781482696533,20.12089729309082,,,,,,1.5528301000595093,3.91169810295105,12.391928672790527,0.8040902614593506,4.186223983764648,2.794797420501709,,2.685586452484131,,8.210386276245117,3.555097818374634,0.6379280686378479,,4.178470134735107,,1.6294490098953247,,8.968130111694336,0.7016159296035767,4.933167934417725,,0.5776824355125427,1.107914924621582,,1.0239992141723633,,0.34665751457214355,5.841146469116211,1.144514560699463,4.901281356811523,,,,2.273947238922119,,1.5203886032104492,,1.381547451019287,3.222273111343384,6.987541675567627,,,1.1980267763137817,0.4860253632068634,3.212505578994751,,0.7590086460113525,,5.234961986541748,1.818900465965271,1.017074465751648,4.934640884399414,4.4010701179504395
1990-08-01,0.26468831300735474,,2.188629150390625,,1.4750514030456543,86.58901977539062,1.4133176803588867,,,,3.5771594047546387,13.122369766235352,3.3407843112945557,,1.3511748313903809,,,4.640434741973877,,11.815311431884766,2.468752861022949,,2.0582005977630615,0.8579374551773071,,3.78303861618042,5.786157608032227,,0.06102713942527771,5.231865406036377,5.7569403648376465,6.430698871612549,0.7524345517158508,6.197544097900391,,5.363081455230713,3.512660026550293,1.3973124027252197,2.1801748275756836,,8.436856269836426,1.0876574516296387,17.41704559326172,,,,,,1.5369129180908203,3.5929672718048096,11.322216033935547,0.603067934513092,3.889854669570923,2.627716302871704,,2.5006275177001953,,7.409072399139404,3.312701940536499,0.5165992975234985,,3.712346076965332,,1.6106188297271729,,7.81456184387207,0.6613138318061829,4.518032550811768,,0.5342479944229126,0.9858182668685913,,0.7799065709114075,,0.23880824446678162,5.698907852172852,1.0727461576461792,4.372246265411377,,,,1.8757665157318115,,1.4237464666366577,,1.266405701637268,2.6123437881469727,6.167263984680176,,,1.0389145612716675,0.43806207180023193,3.0677013397216797,,0.7692652344703674,,4.5858635902404785,1.6597470045089722,0.9083306193351746,4.4824628829956055,4.2419939041137695
1990-09-01,0.20808589458465576,,2.1407532691955566,,1.1210392713546753,80.62813568115234,1.3977004289627075,,,,3.132331371307373,11.373982429504395,2.212343692779541,,1.0133811235427856,,,4.402220249176025,,8.689286231994629,2.4256932735443115,,1.8696625232696533,0.7502708435058594,,3.433065414428711,5.0900797843933105,,0.055478885769844055,4.778958797454834,5.614676475524902,5.971362113952637,0.6761003136634827,5.486226558685303,,5.451408863067627,3.337050199508667,1.377144455909729,1.9301185607910156,,7.791999340057373,1.0330007076263428,15.310139656066895,,,,,,1.3794747591018677,3.2741050720214844,11.956135749816895,0.6008095145225525,3.7680201530456543,1.8834493160247803,,2.337865114212036,,7.088642120361328,3.429657220840454,0.42291557788848877,,3.473421096801758,,1.529453992843628,,7.72173547744751,0.6631457209587097,4.2429351806640625,,0.5472785830497742,1.0210936069488525,,0.7441859841346741,,0.13352733850479126,5.234274387359619,1.0759387016296387,4.1380181312561035,,,,1.655672550201416,,1.4388926029205322,,1.353631854057312,2.44107723236084,5.59003210067749,,,1.0529530048370361,0.41266247630119324,2.876389503479004,,0.6564401984214783,,5.068586349487305,1.6441587209701538,0.769621729850769,4.291451454162598,4.203646183013916
